current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,,sensor,sensor.node_red_newest_version,Node-RED Newest version,,,,,20.1.0,,
,,sensor,sensor.node_red_cpu_percent,Node-RED CPU percent,,,,,0.0,,%
,,sensor,sensor.node_red_memory_percent,Node-RED Memory percent,,,,,2.06,,%
,,sensor,sensor.sabnzbd_version,SABnzbd Version,,,,,0.5.0,,
,,sensor,sensor.sabnzbd_newest_version,SABnzbd Newest version,,,,,0.5.0,,
,,sensor,sensor.sabnzbd_cpu_percent,SABnzbd CPU percent,,,,,0.02,,%
,,sensor,sensor.sabnzbd_memory_percent,SABnzbd Memory percent,,,,,0.68,,%
,,sensor,sensor.spotify_connect_version,Spotify Connect Version,,,,,0.16.1,,
,,sensor,sensor.spotify_connect_newest_version,Spotify Connect Newest version,,,,,0.16.1,,
,,sensor,sensor.spotify_connect_cpu_percent,Spotify Connect CPU percent,,,,,0.05,,%
,,sensor,sensor.spotify_connect_memory_percent,Spotify Connect Memory percent,,,,,0.07,,%
,,sensor,sensor.studio_code_server_version,Studio Code Server Version,,,,,5.19.3,,
,,sensor,sensor.studio_code_server_newest_version,Studio Code Server Newest version,,,,,5.19.3,,
,,sensor,sensor.studio_code_server_cpu_percent,Studio Code Server CPU percent,,,,,0.84,,%
,,sensor,sensor.studio_code_server_memory_percent,Studio Code Server Memory percent,,,,,10.99,,%
,,sensor,sensor.mosquitto_broker_version,Mosquitto broker Version,,,,,6.5.2,,
,,sensor,sensor.mosquitto_broker_newest_version,Mosquitto broker Newest version,,,,,6.5.2,,
,,sensor,sensor.mosquitto_broker_cpu_percent,Mosquitto broker CPU percent,,,,,0.03,,%
,,sensor,sensor.mosquitto_broker_memory_percent,Mosquitto broker Memory percent,,,,,0.24,,%
,,sensor,sensor.tailscale_version,Tailscale Version,,,,,0.26.1,,
,,sensor,sensor.tailscale_newest_version,Tailscale Newest version,,,,,0.26.1,,
,,sensor,sensor.tailscale_cpu_percent,Tailscale CPU percent,,,,,0.01,,%
,,sensor,sensor.tailscale_memory_percent,Tailscale Memory percent,,,,,0.81,,%
,,sensor,sensor.tor_version,Tor Version,,,,,6.1.4,,
,,sensor,sensor.tor_newest_version,Tor Newest version,,,,,7.0.0,,
,,sensor,sensor.tor_cpu_percent,Tor CPU percent,,,,,0.02,,%
,,sensor,sensor.tor_memory_percent,Tor Memory percent,,,,,0.87,,%
,,sensor,sensor.vaultwarden_bitwarden_version,Vaultwarden (Bitwarden) Version,,,,,0.25.1,,
,,sensor,sensor.vaultwarden_bitwarden_newest_version,Vaultwarden (Bitwarden) Newest version,,,,,0.25.1,,
,,sensor,sensor.vaultwarden_bitwarden_cpu_percent,Vaultwarden (Bitwarden) CPU percent,,,,,unavailable,,%
,,sensor,sensor.vaultwarden_bitwarden_memory_percent,Vaultwarden (Bitwarden) Memory percent,,,,,unavailable,,%
,,sensor,sensor.uptime_kuma_version,Uptime Kuma Version,,,,,0.14.1,,
,,sensor,sensor.uptime_kuma_newest_version,Uptime Kuma Newest version,,,,,0.15.0,,
,,sensor,sensor.uptime_kuma_cpu_percent,Uptime Kuma CPU percent,,,,,0.32,,%
,,sensor,sensor.uptime_kuma_memory_percent,Uptime Kuma Memory percent,,,,,1.38,,%
,,sensor,sensor.zerotier_one_version,ZeroTier One Version,,,,,0.24.0,,
,,sensor,sensor.zerotier_one_newest_version,ZeroTier One Newest version,,,,,0.24.0,,
,,sensor,sensor.zerotier_one_cpu_percent,ZeroTier One CPU percent,,,,,0.03,,%
,,sensor,sensor.zerotier_one_memory_percent,ZeroTier One Memory percent,,,,,0.05,,%
,,sensor,sensor.traccar_version,Traccar Version,,,,,0.25.0,,
,,sensor,sensor.traccar_newest_version,Traccar Newest version,,,,,0.25.0,,
,,sensor,sensor.traccar_cpu_percent,Traccar CPU percent,,,,,0.16,,%
,,sensor,sensor.traccar_memory_percent,Traccar Memory percent,,,,,3.1,,%
,,sensor,sensor.music_assistant_version,Music Assistant Version,,,,,2.6.2,,
